alcohol,malic_acid,ash,alcalinity_of_ash,magnesium,total_phenols,flavanoids,nonflavanoid_phenols,proanthocyanins,color_intensity,hue,od280/od315_of_diluted_wines,proline,class
1088,400,744,190,490,1228,1265,154,1614,1034,1065,1230,1273,0
1508,368,1357,696,534,1038,1144,348,1214,755,1265,1575,1441,0
1503,409,1160,359,912,2047,1468,734,943,1008,882,1492,1332,0
1476,469,1445,686,1001,1426,1058,1004,820,877,1082,1245,1602,0
1460,376,974,612,1068,1143,1106,309,781,798,732,1447,1142,0
1363,400,1204,1045,1024,1398,1054,270,1317,868,832,1320,1229,0
1718,388,1029,601,1068,1567,1149,502,1046,891,766,1530,1010,0
1217,498,1445,654,712,1426,1248,695,807,824,982,1177,1448,0
1449,279,1248,644,846,1708,1438,232,1053,964,682,1200,1470,0
722,81,0,0,400,706,99,579,6,117,949,412,353,1
700,146,1007,570,690,755,324,1931,0,348,1281,300,587,1
867,251,722,654,668,734,462,1545,136,781,832,240,251,1
1422,206,613,781,534,791,626,734,207,440,1248,892,514,1
722,158,876,886,378,1779,1192,232,943,554,1232,1200,207,1
614,287,1281,886,756,642,609,1236,400,292,1614,720,112,1
722,190,1314,791,623,1016,998,927,1078,580,1182,772,584,1
1120,109,372,464,178,1412,1226,502,1208,702,1065,1432,327,1
722,174,613,950,178,798,717,541,407,594,1065,1657,339,1
1244,81,1095,675,890,1094,415,1622,6,330,899,495,689,1
636,182,427,654,1802,614,406,39,1350,274,1331,1350,642,1
679,352,930,1034,734,85,294,927,678,309,709,412,864,1
1524,312,1434,1519,356,1391,1088,309,943,367,1465,1417,193,1
1325,372,963,1414,378,635,648,541,400,430,832,1132,283,1
1056,376,1357,2047,1535,1638,1101,309,1001,362,1381,1672,1032,1
501,142,1029,1097,690,1694,777,0,801,337,849,1395,888,1
339,461,613,570,601,445,531,811,478,440,1248,652,219,1
1077,65,383,570,356,685,730,425,678,580,1182,907,166,1
436,870,952,781,934,522,423,1159,349,239,799,937,324,1
700,101,646,443,1468,649,652,850,1517,370,965,780,689,1
900,1266,1138,1308,690,1306,954,1159,994,225,1182,1395,270,1
523,73,701,886,356,1016,829,657,659,213,1498,1387,0,1
910,433,920,865,356,861,946,502,878,458,1132,1402,637,1
566,158,1259,1414,178,720,536,1043,639,161,1381,1087,514,1
1088,1262,1051,1256,334,473,540,1854,781,615,599,555,346,1
436,61,1335,781,534,861,808,348,1253,309,516,1357,353,1
883,97,963,781,645,861,691,657,678,234,1248,1417,251,1
609,352,1040,1287,445,565,583,1159,743,204,1415,742,317,1
334,376,1379,1625,400,664,548,1043,601,231,1465,1455,415,1
329,534,1204,1161,312,685,583,1352,607,265,865,1110,587,1
566,239,1029,1372,0,861,540,1120,626,80,982,1455,507,1
566,441,1051,834,245,438,501,1506,794,196,999,750,295,1
523,312,1160,1203,356,332,393,1429,788,405,949,1035,251,1
894,320,985,1066,222,282,484,1738,781,309,799,592,317,1
679,846,941,781,400,1038,825,463,1020,152,1115,1522,18,1
318,506,1007,781,623,1440,829,154,607,344,1132,1267,98,1
776,316,920,886,2047,1073,833,734,1853,231,1132,1020,962,1
420,558,1511,1150,1424,438,281,39,743,213,782,742,507,1
679,271,679,570,334,1108,933,618,878,283,1248,1102,219,1
722,134,810,834,400,1793,1473,425,994,562,932,1125,558,1
679,983,930,781,400,1320,1144,1236,1550,178,1564,1170,187,1
566,542,372,728,601,882,790,502,639,353,1315,1267,631,1
846,243,591,834,400,332,440,618,607,204,932,1125,415,1
706,692,1204,1097,623,1115,764,811,581,265,533,1582,234,1
426,396,569,939,356,1073,561,927,652,136,766,877,200,1
797,400,679,1045,334,861,682,734,691,290,932,1725,575,1
749,732,996,1203,445,494,648,2047,652,248,632,1522,54,1
657,400,832,886,222,473,730,927,788,370,865,1425,339,1
910,409,1007,1256,312,282,613,1352,788,353,666,862,307,1
641,223,635,886,490,974,734,1004,1078,248,632,1312,50,1
312,247,1467,992,534,1242,1114,618,1343,239,799,1492,587,1
232,1214,504,939,823,1553,967,425,2047,283,449,1155,415,1
803,684,887,1097,400,1108,833,502,523,126,699,1132,69,1
393,785,1708,992,734,544,730,1815,413,440,1248,922,480,1
205,0,1248,1097,400,1059,721,1120,665,314,1032,780,228,1
566,263,1248,1256,312,1115,842,1159,407,283,749,1440,156,1
0,312,920,1150,334,1045,790,1506,1033,108,2047,1200,188,1
426,295,690,1076,356,706,544,657,723,117,782,1545,317,1
749,352,909,1256,846,720,756,811,775,136,965,1267,98,1
937,1088,679,570,222,459,393,1159,271,370,366,637,137,1
523,1088,701,886,378,720,561,927,943,0,749,1335,418,1
226,672,1160,992,578,1355,1058,734,917,344,533,1590,507,1
286,530,2047,1889,1090,1553,2047,1313,943,824,749,1815,273,1
749,1493,1500,1678,712,861,773,1159,839,140,732,1387,127,1
1088,2047,843,1150,356,1158,998,657,1033,231,416,1372,149,1
452,1444,1127,1097,267,1327,1162,309,1614,265,449,1777,149,1
560,574,887,1097,334,1143,998,927,607,258,632,1507,146,1
754,320,1018,1150,356,1242,1214,1004,878,465,349,1177,108,1
409,562,1554,1889,490,812,821,1738,872,300,815,877,274,1
722,360,1029,1467,400,875,911,1043,962,147,682,1132,93,1
544,1440,1117,1203,222,791,609,1120,607,231,516,975,441,1
986,247,1051,781,1157,374,393,309,342,493,466,15,514,2
997,910,1138,992,756,226,380,425,271,720,433,112,368,2
959,635,1138,1414,623,120,324,541,271,772,300,67,412,2
900,1137,1095,1150,801,508,371,154,278,650,499,15,470,2
797,202,974,728,334,720,104,1815,542,728,449,180,543,2
846,696,920,834,534,452,138,1931,342,1017,416,232,609,2
657,1610,1292,1097,423,282,56,1545,252,449,449,0,645,2
808,1930,1401,1519,578,572,112,1931,446,650,566,315,346,2
1325,1153,909,939,400,452,60,1738,303,772,549,412,441,2
975,898,1368,1414,690,946,112,1545,258,636,682,660,456,2
1024,837,1467,1097,578,395,69,1545,220,580,483,780,470,2
1255,736,1084,992,423,296,69,927,149,755,366,900,733,2
1341,983,1489,1361,601,402,78,1429,90,536,682,592,353,2
1395,1703,1084,992,490,720,199,1313,394,545,716,585,397,2
657,1270,920,834,934,282,190,618,471,1210,283,547,842,2
1147,1145,865,1097,712,367,91,1159,575,475,200,307,806,2
1535,1740,952,992,222,0,0,1043,174,632,166,45,200,2
991,1566,1226,1150,356,508,134,1313,291,1113,100,442,507,2
1234,1011,1117,1150,490,671,181,1236,542,1247,116,262,543,2
1104,1278,1095,1150,957,304,453,811,471,1418,150,45,397,2
1331,963,1379,1414,1179,296,531,348,542,1279,183,22,324,2
948,781,1226,1203,934,353,440,425,549,1663,0,150,295,2
1120,469,1522,1572,1024,861,406,502,743,1017,216,45,215,2
1185,1036,1007,834,623,579,212,1854,943,1614,133,180,580,2
835,223,810,992,734,353,104,1545,639,1104,166,210,529,2
1153,1800,1051,1203,512,536,125,1854,736,1156,200,157,653,2
1514,1367,1117,939,423,579,212,1352,743,1350,150,277,295,2
765,926,1401,1730,601,649,104,1931,471,1086,316,345,879,2
1783,380,1467,1519,623,1285,419,1545,1479,2047,150,517,558,2
1320,376,1401,1256,423,1143,328,1506,1214,1829,150,382,499,2
716,1250,1117,1097,400,932,250,1429,407,1113,133,232,353,2
1433,1019,1292,992,823,600,95,1429,252,803,799,412,587,2
980,1024,1335,1203,801,473,112,1815,355,751,649,630,426,2
1040,1096,1084,834,801,289,155,1043,342,699,333,360,580,2
1481,817,1029,1203,445,261,147,1081,400,1450,366,307,492,2
1454,1464,985,1256,400,212,56,1506,478,933,499,360,353,2
1304,1197,1357,1308,912,508,250,1159,678,1642,616,217,609,2
964,1064,1029,939,400,353,138,1043,362,1568,399,360,594,2
1374,744,1456,1467,779,402,216,1004,730,1289,433,397,689,2
1277,1562,1642,1519,934,706,268,541,452,1261,316,487,514,2
630,926,1051,886,578,191,65,1043,207,737,300,420,339,2
937,668,1007,939,356,289,73,1352,149,1506,150,270,280,2
1686,716,1226,992,467,494,155,1197,536,1471,233,330,558,2
1444,1986,1193,1045,556,494,117,1506,420,1121,266,352,675,2
1277,1282,1226,1308,712,579,177,1159,646,1051,366,217,689,2
1207,1432,985,992,1112,431,151,1159,607,1558,183,217,813,2
1153,748,1106,992,1112,473,147,1545,678,1401,200,262,821,2
1670,1359,1511,1467,578,755,181,1661,607,1383,216,247,412,2
